Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice
AMD,Sell,482.05,484.5,570.52,455.29
GS,Sell,1055.21,1058.5256405436016,1108.76,998.96
DELL,Sell,462.7,466.6000061035156,520.56,380.73
WING,Buy,123.5,120.91,110.1,135.45
ALAB,Sell,318.43,348.364990234375,406.19,267.66
ONTO,Sell,276.0,284.3699951171875,320.58,235.97
WFRD,Sell,87.25,89.67736298986155,94.19,84.02
QLYS,Sell,183.25,198.4199981689453,212.3,139.59
DOCN,Sell,124.46,125.69999694824219,150.15,115.01
IBTA,Sell,35.32,37.599998474121094,41.44,26.56
SMTC,Sell,121.25,126.8499984741211,141.91,111.17
ALG,Sell,167.78,169.32000732421875,179.96,155.34
KN,Sell,39.53,40.040000915527344,42.68,35.3
PDFS,Sell,49.46,50.31999969482422,56.17,44.2
TH,Sell,15.76,16.0,17.11,14.8
