Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice
ADBE,Sell,247.9,251.5,278.59,240.22
ANET,Buy,171.02,164.56,146.75,174.21
HUM,Buy,366.66,363.77,339.62,401.34
HUBS,Sell,233.1,236.0,270.48,198.8
NRG,Buy,133.5,128.54,115.75,135.36
ESTC,Sell,64.25,64.48999786376953,69.01,57.8
CART,Sell,44.75,45.209999084472656,48.47,43.3
PSN,Buy,43.17,40.68,32.31,51.27
ACHC,Buy,28.14,27.57,24.71,33.55
BLKB,Sell,40.08,42.11000061035156,46.72,32.24
CLSK,Buy,14.54,12.96,10.37,14.86
WDFC,Buy,227.76,222.64,209.89,242.43
CARG,Sell,36.0,36.47999954223633,39.28,32.92
MIRM,Buy,112.59,108.04,100.87,119.89
CIFR,Buy,22.66,19.74,14.58,24.94
TRNS,Buy,83.34,82.59,75.1,87.47
