Symbol,Buy/Sell,CBT,Entry,Stoploss,TargetPrice
CRM,Sell,166.58,167.3699951171875,179.14,151.9
RCL,Buy,280.95,279.75,264.63,320.61
TER,Buy,351.57,342.99,292.12,418.61
TRMB,Sell,52.4,53.15999984741211,56.29,50.53
EPAM,Sell,85.99,88.27999877929688,96.27,78.07
VKTX,Sell,39.96,41.86000061035156,45.02,37.8
EXPO,Sell,60.95,62.2599983215332,65.64,55.09
HOG,Sell,25.36,26.219999313354492,27.2,24.66
KMPR,Sell,28.84,29.124056232958637,30.81,25.36
SMTC,Buy,128.84,125.29,109.45,158.04
POWL,Buy,231.75,229.9,206.11,241.15
